Depth,Plot,Treatment,Block,Species,Year,Total,Exotic,Native,PC1CWM,PC2CWM
Deep,83,Random,6,5,2012,382.92921,341.12852,41.80069,0.6702643,0.8638465
Deep,84,Random,6,8,2012,274.31078,78.68607,195.62471,-1.229286193,-0.039248192
Deep,85,Random,6,12,2012,339.53184,104.3022,235.22964,-0.262789172,-0.23404996
Medium,97,Random,7,2,2012,255.55383,38.39946,217.15437,-0.7195586,0.3400554
Medium,98,Random,7,5,2012,272.06669,51.09461,220.97207,2.146689233,-1.354561454
Medium,99,Random,7,8,2012,553.83495,75.07306,478.76188,0.9653396,-0.7511764
Medium,100,Random,7,12,2012,447.92617,64.71982,383.20635,-0.5683352,0.1163809
Shallow,112,Random,8,2,2012,163.14628,26.4803,136.66598,-0.5609512,0.4026922
Shallow,113,Random,8,5,2012,297.32884,73.12673,224.20211,-0.8746149,-0.0443825
Shallow,114,Random,8,8,2012,191.60771,4.61562,186.99209,1.5729674,-1.0109026
Shallow,115,Random,8,12,2012,181.3459,21.23894,160.10696,-0.454642146,0.377122771
Deep,126,Random,9,16,2012,269.73276,36.63765,233.09511,-1.2415708,-0.231913
Deep,127,Random,9,2,2012,,,,2.89,-1.66
Deep,128,Random,9,5,2012,795.5924,216.72554,578.86686,2.7931686,-1.6237473
Deep,129,Random,9,8,2012,257.53183,72.39379,185.13803,-1.449468505,0.497342627
Deep,130,Random,9,12,2012,186.50329,30.451,156.0523,-0.1811004,-0.7226955
